timestamp,grid_i_r,grid_i_y,grid_i_b,grid_i_n,grid_thdi_r,grid_thdi_y,grid_thdi_b,grid_thdi_n,load_i_r,load_i_y,load_i_b,load_i_n,load_thdi_r,load_thdi_y,load_thdi_b,load_thdi_n,volt_r,volt_y,volt_b,freq_r,freq_y,freq_b,thdu_r,thdu_y,thdu_b,grid_pf_r,grid_pf_y,grid_pf_b,grid_pf_n,load_pf_r,load_pf_y,load_pf_b,load_pf_n,comp_cur_r,comp_cur_y,comp_cur_b,comp_rate_r,comp_rate_y,comp_rate_b,grid_kvar_r,grid_kvar_y,grid_kvar_b,grid_kw_r,grid_kw_y,grid_kw_b,grid_kva_r,grid_kva_y,grid_kva_b,load_kvar_r,load_kvar_y,load_kvar_b,load_kw_r,load_kw_y,load_kw_b,load_kva_r,load_kva_y,load_kva_b,temp_j1,temp_j2,temp_j3
2026-03-08T09:00:01.781208,150.05,148.297,151.328,3.494,8.214,8.492,8.015,15.088,140.109,137.815,141.58,4.203,12.293,12.807,12.083,22.467,230.125,230.192,230.022,50.022,50.038,50.042,2.1,2.296,1.998,0.918,0.91,0.931,0.851,0.88,0.872,0.891,0.819,10.19,10.486,9.805,88.15,87.455,89.174,8.506,8.286,8.702,34.564,34.096,34.8,37.447,37.077,37.739,9.107,8.906,9.315,31.963,31.765,32.261,36.347,36.073,36.648,42.371,45.016,41.755
2026-03-08T09:00:02.775218,150.563,148.912,151.745,3.559,8.237,8.535,8.042,15.249,140.314,138.406,141.843,4.249,12.378,12.891,12.15,22.717,230.236,230.304,229.618,50.088,50.047,50.082,2.107,2.309,2.001,0.923,0.91,0.93,0.852,0.881,0.87,0.891,0.823,10.315,10.587,9.902,88.04,87.566,89.208,8.526,8.329,8.737,34.52,34.158,34.799,37.559,37.089,37.841,9.133,8.925,9.326,32.041,31.832,32.293,36.478,36.092,36.68,42.228,45.136,41.875
2026-03-08T09:00:03.783482,150.396,149.025,151.859,3.602,8.294,8.595,8.068,15.373,140.564,138.63,142.255,4.312,12.405,12.973,12.209,22.896,230.145,230.787,229.707,50.048,49.969,49.961,2.109,2.309,2.008,0.923,0.912,0.931,0.853,0.88,0.873,0.893,0.824,10.398,10.723,9.986,88.393,87.921,89.377,8.564,8.363,8.755,34.515,34.182,34.894,37.546,37.198,37.912,9.14,8.96,9.36,32.043,31.862,32.297,36.507,36.21,36.704,42.246,45.132,41.81
2026-03-08T09:00:04.778011,151.224,149.5,152.247,3.647,8.339,8.656,8.104,15.52,141.341,139.192,142.516,4.355,12.486,13.026,12.265,23.065,230.334,230.832,229.622,50.017,50.041,50.02,2.112,2.319,2.006,0.922,0.915,0.933,0.855,0.885,0.873,0.892,0.826,10.494,10.81,10.097,88.697,88.012,89.411,8.587,8.372,8.75,34.677,34.219,34.918,37.708,37.324,37.85,9.172,8.982,9.383,32.126,31.903,32.239,36.483,36.285,36.74,42.334,45.039,41.865
2026-03-08T09:00:05.792828,151.259,149.73,152.32,3.695,8.365,8.705,8.112,15.61,141.618,139.602,143.003,4.409,12.553,13.079,12.291,23.273,230.463,231.174,230.552,50.039,50.012,49.974,2.12,2.321,2.012,0.926,0.913,0.935,0.857,0.886,0.875,0.895,0.829,10.615,10.907,10.181,88.698,88.233,89.672,8.604,8.424,8.788,34.715,34.307,34.882,37.615,37.364,37.965,9.223,9.016,9.377,32.111,32.014,32.374,36.607,36.284,36.893,42.369,45.176,41.814
2026-03-08T09:00:06.779943,151.696,150.025,152.298,3.738,8.394,8.76,8.15,15.767,141.741,140.055,143.234,4.45,12.62,13.166,12.34,23.44,230.628,230.625,230.051,49.92,49.961,50.078,2.121,2.33,2.018,0.926,0.916,0.933,0.859,0.885,0.876,0.894,0.83,10.678,10.984,10.279,88.756,88.651,89.715,8.637,8.454,8.808,34.705,34.418,34.904,37.742,37.391,37.916,9.237,9.053,9.402,32.2,31.987,32.376,36.59,36.393,36.843,42.323,45.223,41.818
2026-03-08T09:00:07.781190,151.713,150.318,152.864,3.78,8.443,8.815,8.187,15.899,142.191,140.782,143.25,4.502,12.671,13.232,12.382,23.621,230.797,231.387,230.255,50.008,50.041,50.083,2.128,2.339,2.014,0.925,0.919,0.936,0.862,0.885,0.877,0.895,0.831,10.768,11.104,10.341,89.186,88.552,90.012,8.646,8.479,8.819,34.796,34.39,35.029,37.798,37.419,37.964,9.274,9.099,9.42,32.219,32.136,32.387,36.73,36.359,36.946,42.38,45.183,41.911
2026-03-08T09:00:08.782896,152.155,150.648,152.75,3.799,8.487,8.833,8.231,16.005,142.572,140.659,144.009,4.534,12.711,13.306,12.418,23.784,230.415,230.812,229.962,50.102,49.999,50.029,2.126,2.337,2.024,0.928,0.919,0.936,0.865,0.886,0.877,0.898,0.833,10.874,11.182,10.424,89.212,88.98,90.129,8.66,8.487,8.856,34.772,34.459,34.984,37.749,37.427,38.039,9.283,9.112,9.466,32.304,32.109,32.345,36.639,36.416,36.954,42.407,45.11,41.832
2026-03-08T09:00:09.782023,152.565,150.978,153.195,3.82,8.534,8.892,8.265,16.126,142.708,141.397,144.071,4.56,12.783,13.408,12.479,23.963,230.313,231.353,230.54,49.959,49.946,49.973,2.131,2.341,2.027,0.93,0.919,0.936,0.864,0.888,0.88,0.898,0.836,10.946,11.256,10.489,89.429,89.196,90.057,8.709,8.525,8.869,34.856,34.525,35.052,37.845,37.585,38.134,9.312,9.131,9.48,32.294,32.218,32.412,36.798,36.504,37.02,42.343,45.178,41.858
2026-03-08T09:00:10.785159,152.794,151.583,153.658,3.835,8.572,8.924,8.276,16.193,143.02,141.7,144.587,4.594,12.853,13.481,12.536,24.169,231.062,230.92,230.673,49.966,49.923,50.056,2.134,2.355,2.027,0.929,0.919,0.939,0.865,0.888,0.881,0.899,0.837,10.983,11.336,10.552,89.626,89.277,90.434,8.731,8.547,8.896,34.811,34.595,35.027,37.933,37.551,38.093,9.333,9.162,9.518,32.292,32.233,32.453,36.787,36.562,36.963,42.432,45.133,41.923
